tf	tf_bnum	gene	gene_bnum
argP	b2916	rhsO	FALSE
argP	b2916	insAB5	FALSE
csgD	b1040	ytfL5p	FALSE
cynR	b0338	insCD5	FALSE
cynR	b0338	ytfL5p	FALSE
deoR	b0840	insEF2	FALSE
dicC	b1569	oppA5p	FALSE
fruR	b0080	oppA5p	FALSE
hns	b1237	rhsO	FALSE
hns	b1237	speFL	FALSE
hns	b1237	insCD5	FALSE
nac	b1988	trmN	FALSE
nac	b1988	ytfL5p	FALSE
nac	b1988	insCD6	FALSE
sfsB	b3188	insEF3	FALSE
sfsB	b3188	speFL	FALSE
stpA	b2669	insCD1	FALSE
stpA	b2669	insEF4	FALSE
stpA	b2669	insAB5	FALSE
yafC	b0208	insCD1	FALSE
yafC	b0208	yhcF3p	FALSE
yafN	b0232	insCD1	FALSE
ybdO	b0603	insCD2	FALSE
ybhD	b0768	insCD5	FALSE
yciT	b1284	flc	FALSE
yfaX	b2248	rhmA	FALSE
yfaX	b2248	rhmT	FALSE
yfeT	b2427	insAB6	FALSE
yieP	b3755	flc	FALSE
yoeB	b4539	rhsO	FALSE
yoeB	b4539	insEF1	FALSE
yoeB	b4539	insEF2	FALSE
yoeB	b4539	insEF4	FALSE
yoeB	b4539	insEF5	FALSE
